Unnamed: 0,record_time,user,group,host_ip,dst_ip,serv,app,http_type,site,tm_type,up_flux,down_flux
798718,2023-04-03 12:59:44+00:00,721.91.0.31,/HUTB/南校区/信息化机房/图书馆数据中心/,719.30.1.12,24.59.508.28,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798728,2023-04-03 12:59:44+00:00,197.10.1.32,/HUTB/南校区/信息化机房/图书馆数据中心/,721.93.1.01,25.80.459.28,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798729,2023-04-03 12:59:44+00:00,731.12.0.19,/HUTB/南校区/信息化机房/图书馆数据中心/,109.12.7.13,89.42.580.25,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798730,2023-04-03 12:59:44+00:00,210.31.7.19,/HUTB/南校区/信息化机房/图书馆数据中心/,197.11.3.20,28.45.089.25,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798731,2023-04-03 12:59:44+00:00,723.10.9.11,/HUTB/南校区/信息化机房/图书馆数据中心/,719.01.1.23,25.45.880.29,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798732,2023-04-03 12:59:44+00:00,197.10.3.21,/HUTB/南校区/信息化机房/图书馆数据中心/,317.92.1.10,49.28.250.58,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798733,2023-04-03 12:59:44+00:00,019.11.2.73,/HUTB/南校区/信息化机房/图书馆数据中心/,193.72.1.01,85.42.250.98,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798734,2023-04-03 12:59:44+00:00,321.01.7.91,/HUTB/南校区/信息化机房/图书馆数据中心/,031.19.2.17,20.85.892.54,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798736,2023-04-03 12:59:44+00:00,291.31.0.17,/HUTB/南校区/信息化机房/图书馆数据中心/,121.90.1.73,22.85.490.58,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798737,2023-04-03 12:59:44+00:00,931.27.1.01,/HUTB/南校区/信息化机房/图书馆数据中心/,307.12.1.91,04.28.285.95,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798738,2023-04-03 12:59:44+00:00,112.17.9.03,/HUTB/南校区/信息化机房/图书馆数据中心/,910.17.2.13,25.95.028.48,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798739,2023-04-03 12:59:44+00:00,973.11.2.10,/HUTB/南校区/信息化机房/图书馆数据中心/,101.23.9.17,85.40.822.95,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798740,2023-04-03 12:59:44+00:00,721.11.9.30,/HUTB/南校区/信息化机房/图书馆数据中心/,703.12.9.11,94.20.885.25,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798741,2023-04-03 12:59:44+00:00,5315,/HUTB/南校区/南校区家属区无线/,14.1.96.061,341.322.451.321,访问网站,IT行业,,未定义位置,/PC/MAC PC,,
798742,2023-04-03 12:59:44+00:00,110.12.9.37,/HUTB/南校区/信息化机房/图书馆数据中心/,209.17.1.13,92.54.852.80,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798743,2023-04-03 12:59:44+00:00,011.73.2.91,/HUTB/南校区/信息化机房/图书馆数据中心/,911.20.7.13,29.05.854.28,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798727,2023-04-03 12:59:44+00:00,119.27.3.10,/HUTB/南校区/信息化机房/图书馆数据中心/,311.19.2.07,25.54.028.89,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798726,2023-04-03 12:59:44+00:00,119.17.0.32,/HUTB/南校区/信息化机房/图书馆数据中心/,701.32.9.11,52.89.854.02,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798725,2023-04-03 12:59:44+00:00,311.02.9.17,/HUTB/南校区/信息化机房/图书馆数据中心/,719.11.3.20,50.95.288.24,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798724,2023-04-03 12:59:44+00:00,379.01.1.21,/HUTB/南校区/信息化机房/图书馆数据中心/,102.31.9.17,48.22.509.58,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798707,2023-04-03 12:59:44+00:00,731.90.1.12,/HUTB/南校区/信息化机房/图书馆数据中心/,321.19.0.71,85.52.248.90,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798708,2023-04-03 12:59:44+00:00,171.10.3.92,/HUTB/南校区/信息化机房/图书馆数据中心/,920.11.3.17,48.85.095.22,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798709,2023-04-03 12:59:44+00:00,711.32.0.91,/HUTB/南校区/信息化机房/图书馆数据中心/,311.90.2.71,29.42.808.55,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798710,2023-04-03 12:59:44+00:00,123.71.9.01,/HUTB/南校区/信息化机房/图书馆数据中心/,097.21.1.13,45.09.582.82,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798711,2023-04-03 12:59:44+00:00,791.30.1.12,/HUTB/南校区/信息化机房/图书馆数据中心/,027.11.1.39,88.02.559.42,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798712,2023-04-03 12:59:44+00:00,710.92.1.13,/HUTB/南校区/信息化机房/图书馆数据中心/,019.12.1.37,92.80.528.45,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798713,2023-04-03 12:59:44+00:00,913.72.0.11,/HUTB/南校区/信息化机房/图书馆数据中心/,111.30.2.79,88.45.290.25,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798744,2023-04-03 12:59:44+00:00,191.71.3.02,/HUTB/南校区/信息化机房/图书馆数据中心/,190.17.3.21,95.52.208.84,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798714,2023-04-03 12:59:44+00:00,731.11.2.90,/HUTB/南校区/信息化机房/图书馆数据中心/,312.79.1.10,85.25.489.02,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798716,2023-04-03 12:59:44+00:00,139.01.7.21,/HUTB/南校区/信息化机房/图书馆数据中心/,012.17.1.39,24.98.025.85,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798717,2023-04-03 12:59:44+00:00,271.11.9.03,/HUTB/南校区/信息化机房/图书馆数据中心/,917.10.2.31,89.52.240.58,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798719,2023-04-03 12:59:44+00:00,209.13.7.11,/HUTB/南校区/信息化机房/图书馆数据中心/,110.39.1.72,48.29.058.52,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798720,2023-04-03 12:59:44+00:00,731.91.2.01,/HUTB/南校区/信息化机房/图书馆数据中心/,710.12.1.93,45.58.820.29,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798721,2023-04-03 12:59:44+00:00,091.27.1.31,/HUTB/南校区/信息化机房/图书馆数据中心/,112.79.1.30,027.31.51.741,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798722,2023-04-03 12:59:44+00:00,019.17.1.32,/HUTB/南校区/信息化机房/图书馆数据中心/,112.39.1.70,45.98.220.85,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798723,2023-04-03 12:59:44+00:00,117.12.9.30,/HUTB/南校区/信息化机房/图书馆数据中心/,291.10.1.73,02.42.588.59,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798715,2023-04-03 12:59:44+00:00,191.21.0.37,/HUTB/南校区/信息化机房/图书馆数据中心/,210.13.7.19,98.58.522.40,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798745,2023-04-03 12:59:44+00:00,091.31.7.21,/HUTB/南校区/信息化机房/图书馆数据中心/,912.10.3.17,05.98.482.25,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798735,2023-04-03 12:59:44+00:00,702.11.1.93,/HUTB/南校区/信息化机房/图书馆数据中心/,301.92.1.17,919.16.74.822,访问网站,教育,,数据中心-图书馆-服务器,/未知类型,,
798747,2023-04-03 12:59:44+00:00,2150005125@cmcc,/HUTB/北校区/北校区宿舍区无线/,06.12.710.32,314.11.870.64,访问网站,IT行业,,北校区学生公寓,/PC/MAC PC,,
